station,latitude,longitude,start,tripdurationS,end,tripdurationE,month
Grand St,40.71517767732030,-74.03768330812450,499,714.0,513,790.0,Jul
Communipaw & Berry Lane,40.71435836870430,-74.06661093235020,298,1346.5,310,1187.0,Jul
Astor Place,40.71928220070700,-74.07126188278200,411,599.0,393,596.0,Jul
Christ Hospital,40.734785818,-74.050443636,139,621.0,115,603.0,Jul
Brunswick & 6th,40.726011729646200,-74.0503889322281,441,539.0,445,487.0,Jul
Newport PATH,40.7272235,-74.03375890000000,1417,891.0,1418,824.0,Jul
Manila & 1st,40.72165072488000,-74.04288411140440,555,576.0,554,599.0,Jul
5 Corners Library,40.73496102000950,-74.05950307846070,195,894.0,197,1006.0,Jul
Journal Square,40.733670000000000,-74.0625,258,672.0,246,781.0,Jul
City Hall,40.717732500000000,-74.04384500000000,1112,606.0,1185,577.0,Aug
Grove St PATH,40.71958611647170,-74.0431174635887,2581,447.0,2836,449.0,Aug
Heights Elevator,40.748715945380200,-74.04044330120090,440,1256.5,422,1563.5,Aug
Paulus Hook,40.7141454,-74.0335519,1101,1060.0,1123,1191.0,Aug
Columbus Drive,40.71835519823210,-74.03891444206240,935,696.0,939,616.0,Aug
Washington St,40.7242941,-74.0354826,1224,1014.5,1227,1037.0,Aug
Harborside,40.71925170000000,-74.034234,1566,729.5,1557,698.0,Aug
Newark Ave,40.72152515,-74.046304543,889,589.0,924,541.0,Aug
Marin Light Rail,40.71458403535890,-74.04281705617910,1894,799.5,1928,779.0,Aug
Columbus Dr at Exchange Pl,40.71687,-74.03281,1695,891.0,1688,919.5,Aug
Lincoln Park,40.7246050998869,-74.07840594649320,753,1416.0,832,1414.0,Aug
JC Medical Center,40.71653978099190,-74.0496379137039,1657,1062.0,1723,1232.0,Aug
Hilltop,40.7311689,-74.0575736,460,775.5,346,836.0,Aug
Jersey & 6th St,40.72528910781130,-74.04557168483730,593,384.0,611,397.0,Aug
Jackson Square,40.71113,-74.0789,177,1204.0,203,1087.0,Aug
Riverview Park,40.7443187,-74.04399090000000,280,1092.5,249,1379.0,Aug
Hoboken Ave at Monmouth St,40.73520838045360,-74.04696375131610,567,1081.0,579,1116.0,Aug
Sip Ave,40.73089709786180,-74.06391263008120,1624,511.5,1435,433.0,Aug
Essex Light Rail,40.712774200000000,-74.03648570000000,498,677.0,522,687.0,Aug
Newport PATH,40.7272235,-74.03375890000000,1660,843.0,1690,838.5,Aug
Monmouth and 6th,40.72568548362900,-74.0487903356552,480,502.5,478,472.0,Aug
Pershing Field,40.742677141,-74.051788633,496,1005.0,488,1180.5,Aug
McGinley Square,40.7253399253558,-74.06762212514880,636,392.5,462,381.0,Aug
Warren St,40.721123600000000,-74.03805095,1216,629.5,1227,699.0,Aug
Brunswick St,40.7241765,-74.05065640000000,650,581.0,637,564.0,Aug
Fairmount Ave,40.72572613742560,-74.07195925712580,326,601.0,260,536.0,Aug
Bergen Ave,40.72210378668600,-74.07145500183100,474,464.5,429,429.0,Aug
Baldwin at Montgomery,40.7236589,-74.0641943,668,676.5,625,763.0,Aug
Hamilton Park,40.727595966000000,-74.044247311,1749,634.0,1804,594.0,Aug
Newport Pkwy,40.728744800000000,-74.03210820000000,3050,1168.5,3052,1212.0,Aug
Glenwood Ave,40.72755146730010,-74.07106071710590,249,865.0,243,972.0,Aug
Leonard Gordon Park,40.74590996631560,-74.05727148056030,173,938.0,155,1138.0,Aug
Union St,40.71821130000000,-74.08363940000000,211,1024.0,239,1108.0,Aug
Dey St,40.737711,-74.066921,230,1025.0,228,932.5,Aug
Morris Canal,40.7124188237569,-74.03852552175520,1332,1062.5,1330,1009.0,Aug
Montgomery St,40.71942,-74.05099,477,624.0,494,669.0,Aug
Liberty Light Rail,40.711242300000000,-74.0557013,2397,2003.0,2426,1989.0,Aug
Manila & 1st,40.72165072488000,-74.04288411140440,566,479.0,578,512.0,Aug
Brunswick & 6th,40.726011729646200,-74.0503889322281,530,548.0,558,496.0,Aug
Jersey & 3rd,40.723331586464400,-74.04595255851740,730,398.0,731,452.0,Aug
York St,40.71649,-74.04105,447,711.0,440,652.0,Aug
Dixon Mills,40.72163014263840,-74.04996782541280,582,439.5,582,436.0,Aug
Van Vorst Park,40.71848892,-74.047726625,966,659.0,972,719.5,Aug
5 Corners Library,40.73496102000950,-74.05950307846070,223,865.0,207,952.0,Aug
Lafayette Park,40.71346382669200,-74.06285852193830,489,874.0,550,838.5,Aug
Oakland Ave,40.7376037,-74.05247830000000,309,719.0,200,826.5,Aug
Astor Place,40.71928220070700,-74.07126188278200,439,567.0,434,713.0,Aug
Grand St,40.71517767732030,-74.03768330812450,558,617.0,591,640.0,Aug
Communipaw & Berry Lane,40.71435836870430,-74.06661093235020,345,1284.0,385,1092.0,Aug
Journal Square,40.733670000000000,-74.0625,366,674.5,255,596.0,Aug
Christ Hospital,40.734785818,-74.050443636,197,682.0,158,871.0,Aug
Grove St PATH,40.71958611647170,-74.0431174635887,3664,360.5,4009,383.0,Sep
Journal Square,40.733670000000000,-74.0625,434,626.0,364,589.5,Sep
Union St,40.71821130000000,-74.08363940000000,236,1246.0,243,1272.0,Sep
Hamilton Park,40.727595966000000,-74.044247311,2143,561.0,2260,565.0,Sep
McGinley Square,40.7253399253558,-74.06762212514880,936,420.0,664,386.5,Sep
Baldwin at Montgomery,40.7236589,-74.0641943,806,614.0,758,689.0,Sep
Christ Hospital,40.734785818,-74.050443636,218,626.0,185,723.0,Sep
Newport Pkwy,40.728744800000000,-74.03210820000000,3371,974.0,3396,1065.0,Sep
Jersey & 3rd,40.723331586464400,-74.04595255851740,880,314.5,905,381.0,Sep
Astor Place,40.71928220070700,-74.07126188278200,529,535.0,525,556.0,Sep
Dixon Mills,40.72163014263840,-74.04996782541280,725,391.0,711,382.0,Sep
Essex Light Rail,40.712774200000000,-74.03648570000000,740,638.5,740,654.5,Sep
Marin Light Rail,40.71458403535890,-74.04281705617910,2276,621.0,2275,667.0,Sep
Warren St,40.721123600000000,-74.03805095,1592,480.5,1596,486.0,Sep
Fairmount Ave,40.72572613742560,-74.07195925712580,554,532.5,428,428.5,Sep
Lincoln Park,40.7246050998869,-74.07840594649320,1045,1402.0,1060,1494.0,Sep
Lafayette Park,40.71346382669200,-74.06285852193830,631,695.0,675,737.0,Sep
Columbus Drive,40.71835519823210,-74.03891444206240,1085,585.0,1099,501.0,Sep
Monmouth and 6th,40.72568548362900,-74.0487903356552,732,404.0,743,432.0,Sep
JC Medical Center,40.71653978099190,-74.0496379137039,1853,877.0,1896,1012.0,Sep
Washington St,40.7242941,-74.0354826,1557,877.0,1584,848.5,Sep
Jersey & 6th St,40.72528910781130,-74.04557168483730,851,369.0,865,420.0,Sep
Morris Canal,40.7124188237569,-74.03852552175520,1521,748.0,1528,769.5,Sep
Newport PATH,40.7272235,-74.03375890000000,2295,623.0,2349,651.0,Sep
Liberty Light Rail,40.711242300000000,-74.0557013,2701,1547.0,2710,1700.5,Sep
Sip Ave,40.73089709786180,-74.06391263008120,1971,476.0,1836,431.0,Sep
Van Vorst Park,40.71848892,-74.047726625,1205,584.0,1222,586.0,Sep
Glenwood Ave,40.72755146730010,-74.07106071710590,342,763.5,309,917.0,Sep
Brunswick St,40.7241765,-74.05065640000000,864,516.0,870,480.5,Sep
Brunswick & 6th,40.726011729646200,-74.0503889322281,766,496.0,767,485.0,Sep
City Hall,40.717732500000000,-74.04384500000000,1540,582.0,1668,543.5,Sep
Pershing Field,40.742677141,-74.051788633,502,888.5,458,1111.5,Sep
Columbus Dr at Exchange Pl,40.71687,-74.03281,2001,691.0,2073,671.0,Sep
Communipaw & Berry Lane,40.71435836870430,-74.06661093235020,410,843.5,443,840.0,Sep
Hilltop,40.7311689,-74.0575736,621,697.0,432,796.5,Sep
Harborside,40.71925170000000,-74.034234,1943,614.0,1942,567.0,Sep
Paulus Hook,40.7141454,-74.0335519,1110,728.0,1164,707.0,Sep
Bergen Ave,40.72210378668600,-74.07145500183100,493,486.0,400,424.0,Sep
Grand St,40.71517767732030,-74.03768330812450,858,547.0,869,587.0,Sep
Heights Elevator,40.748715945380200,-74.04044330120090,523,1135.0,512,1273.0,Sep
York St,40.71649,-74.04105,555,554.0,572,584.0,Sep
Newark Ave,40.72152515,-74.046304543,1175,452.0,1250,502.0,Sep
Montgomery St,40.71942,-74.05099,670,638.0,672,590.0,Sep
Hoboken Ave at Monmouth St,40.73520838045360,-74.04696375131610,620,933.5,628,935.0,Sep
Manila & 1st,40.72165072488000,-74.04288411140440,656,438.5,733,445.0,Sep
Dey St,40.737711,-74.066921,278,784.5,283,599.0,Sep
Oakland Ave,40.7376037,-74.05247830000000,366,641.5,245,876.0,Sep
Jackson Square,40.71113,-74.0789,199,976.0,193,1029.0,Sep
5 Corners Library,40.73496102000950,-74.05950307846070,324,792.0,290,834.0,Sep
Riverview Park,40.7443187,-74.04399090000000,310,998.5,274,1114.5,Sep
Leonard Gordon Park,40.74590996631560,-74.05727148056030,156,896.5,126,1130.5,Sep
Grove St PATH,40.71958611647170,-74.0431174635887,2146,318.0,2352,357.0,Oct
Manila & 1st,40.72165072488000,-74.04288411140440,416,367.5,424,393.5,Oct
Newport Pkwy,40.728744800000000,-74.03210820000000,1829,930.0,1837,909.0,Oct
Sip Ave,40.73089709786180,-74.06391263008120,1216,469.5,1067,419.0,Oct
Washington St,40.7242941,-74.0354826,824,633.0,838,644.5,Oct
Pershing Field,40.742677141,-74.051788633,256,778.5,243,1007.0,Oct
JC Medical Center,40.71653978099190,-74.0496379137039,1095,679.0,1063,887.0,Oct
Warren St,40.721123600000000,-74.03805095,945,455.0,968,417.0,Oct
Hilltop,40.7311689,-74.0575736,308,658.5,233,800.0,Oct
Astor Place,40.71928220070700,-74.07126188278200,291,544.0,292,503.5,Oct
Union St,40.71821130000000,-74.08363940000000,113,1271.0,116,1450.0,Oct
Heights Elevator,40.748715945380200,-74.04044330120090,311,1058.0,282,1205.5,Oct
Harborside,40.71925170000000,-74.034234,985,472.0,998,458.0,Oct
Communipaw & Berry Lane,40.71435836870430,-74.06661093235020,240,789.5,248,808.0,Oct
Liberty Light Rail,40.711242300000000,-74.0557013,1303,1124.0,1306,1317.0,Oct
Morris Canal,40.7124188237569,-74.03852552175520,851,605.0,850,679.0,Oct
Bergen Ave,40.72210378668600,-74.07145500183100,302,444.5,252,428.0,Oct
Jersey & 6th St,40.72528910781130,-74.04557168483730,465,349.0,486,358.0,Oct
Oakland Ave,40.7376037,-74.05247830000000,179,471.0,123,641.0,Oct
Jackson Square,40.71113,-74.0789,114,872.5,126,909.5,Oct
Fairmount Ave,40.72572613742560,-74.07195925712580,358,542.0,315,444.0,Oct
Baldwin at Montgomery,40.7236589,-74.0641943,494,604.0,445,658.0,Oct
Hamilton Park,40.727595966000000,-74.044247311,1285,539.0,1338,519.5,Oct
McGinley Square,40.7253399253558,-74.06762212514880,526,359.0,377,372.0,Oct
Brunswick St,40.7241765,-74.05065640000000,494,451.0,496,462.5,Oct
Montgomery St,40.71942,-74.05099,358,618.0,363,565.0,Oct
Marin Light Rail,40.71458403535890,-74.04281705617910,1131,499.0,1148,561.0,Oct
Essex Light Rail,40.712774200000000,-74.03648570000000,464,545.0,469,588.0,Oct
Dixon Mills,40.72163014263840,-74.04996782541280,437,411.0,443,443.0,Oct
Brunswick & 6th,40.726011729646200,-74.0503889322281,468,429.5,482,442.5,Oct
Lafayette Park,40.71346382669200,-74.06285852193830,367,654.0,396,700.5,Oct
Van Vorst Park,40.71848892,-74.047726625,650,526.5,691,559.0,Oct
Jersey & 3rd,40.723331586464400,-74.04595255851740,479,295.0,493,384.0,Oct
Newport PATH,40.7272235,-74.03375890000000,1416,549.0,1441,559.0,Oct
Christ Hospital,40.734785818,-74.050443636,151,594.0,132,696.0,Oct
Monmouth and 6th,40.72568548362900,-74.0487903356552,448,391.5,455,389.0,Oct
Columbus Dr at Exchange Pl,40.71687,-74.03281,1017,572.0,1045,558.0,Oct
Paulus Hook,40.7141454,-74.0335519,640,617.0,668,626.0,Oct
Newark Ave,40.72152515,-74.046304543,654,473.5,691,478.0,Oct
Glenwood Ave,40.72755146730010,-74.07106071710590,169,706.0,149,808.0,Oct
Lincoln Park,40.7246050998869,-74.07840594649320,381,1084.0,394,1069.5,Oct
Dey St,40.737711,-74.066921,140,563.5,137,403.0,Oct
Columbus Drive,40.71835519823210,-74.03891444206240,679,437.0,680,446.5,Oct
Journal Square,40.733670000000000,-74.0625,235,540.0,195,415.0,Oct
Leonard Gordon Park,40.74590996631560,-74.05727148056030,88,962.0,89,723.0,Oct
City Hall,40.717732500000000,-74.04384500000000,910,535.5,994,509.0,Oct
York St,40.71649,-74.04105,294,493.0,309,524.0,Oct
Grand St,40.71517767732030,-74.03768330812450,517,508.0,513,533.0,Oct
Hoboken Ave at Monmouth St,40.73520838045360,-74.04696375131610,277,969.0,298,868.5,Oct
5 Corners Library,40.73496102000950,-74.05950307846070,187,780.0,157,821.0,Oct
Riverview Park,40.7443187,-74.04399090000000,183,973.0,151,1176.0,Oct
Columbus Drive,40.71835519823210,-74.03891444206240,483,422.0,477,421.0,Nov
Grand St,40.71517767732030,-74.03768330812450,431,512.0,412,532.5,Nov
Hamilton Park,40.727595966000000,-74.044247311,858,516.0,906,473.0,Nov
Lafayette Park,40.71346382669200,-74.06285852193830,268,634.5,277,648.0,Nov
City Hall,40.717732500000000,-74.04384500000000,663,509.0,712,511.0,Nov
Bergen Ave,40.72210378668600,-74.07145500183100,218,491.5,207,527.0,Nov
Newport PATH,40.7272235,-74.03375890000000,952,552.5,970,551.0,Nov
Hilltop,40.7311689,-74.0575736,134,622.5,121,698.0,Nov
McGinley Square,40.7253399253558,-74.06762212514880,348,338.5,302,362.5,Nov
Manila & 1st,40.72165072488000,-74.04288411140440,374,402.0,411,413.0,Nov
Van Vorst Park,40.71848892,-74.047726625,494,457.5,516,575.0,Nov
Washington St,40.7242941,-74.0354826,601,623.0,645,672.0,Nov
Jackson Square,40.71113,-74.0789,105,1035.0,105,1148.0,Nov
Newport Pkwy,40.728744800000000,-74.03210820000000,1240,857.0,1246,882.5,Nov
Marin Light Rail,40.71458403535890,-74.04281705617910,916,584.5,900,605.5,Nov
Columbus Dr at Exchange Pl,40.71687,-74.03281,617,643.0,627,652.0,Nov
JC Medical Center,40.71653978099190,-74.0496379137039,773,723.0,789,876.0,Nov
Essex Light Rail,40.712774200000000,-74.03648570000000,265,580.0,273,565.0,Nov
Lincoln Park,40.7246050998869,-74.07840594649320,225,1022.0,209,1021.0,Nov
Fairmount Ave,40.72572613742560,-74.07195925712580,261,517.0,208,430.0,Nov
Newark Ave,40.72152515,-74.046304543,444,391.0,460,409.0,Nov
Baldwin at Montgomery,40.7236589,-74.0641943,344,539.5,328,627.0,Nov
Sip Ave,40.73089709786180,-74.06391263008120,882,473.0,779,412.0,Nov
5 Corners Library,40.73496102000950,-74.05950307846070,104,736.0,83,910.0,Nov
Brunswick St,40.7241765,-74.05065640000000,464,388.0,454,426.5,Nov
Liberty Light Rail,40.711242300000000,-74.0557013,983,1391.0,996,1435.5,Nov
Warren St,40.721123600000000,-74.03805095,645,466.0,643,411.0,Nov
Jersey & 6th St,40.72528910781130,-74.04557168483730,388,352.0,389,398.0,Nov
Morris Canal,40.7124188237569,-74.03852552175520,559,643.0,552,677.5,Nov
Paulus Hook,40.7141454,-74.0335519,477,632.0,505,612.0,Nov
Pershing Field,40.742677141,-74.051788633,179,748.0,173,992.0,Nov
Astor Place,40.71928220070700,-74.07126188278200,214,563.0,214,600.5,Nov
Jersey & 3rd,40.723331586464400,-74.04595255851740,388,313.5,403,406.0,Nov
Dixon Mills,40.72163014263840,-74.04996782541280,250,397.5,252,437.5,Nov
Montgomery St,40.71942,-74.05099,270,491.5,273,543.0,Nov
York St,40.71649,-74.04105,241,502.0,248,459.5,Nov
Brunswick & 6th,40.726011729646200,-74.0503889322281,366,430.0,358,385.0,Nov
Heights Elevator,40.748715945380200,-74.04044330120090,173,1070.0,166,1219.5,Nov
Riverview Park,40.7443187,-74.04399090000000,104,972.0,91,1146.0,Nov
Communipaw & Berry Lane,40.71435836870430,-74.06661093235020,162,750.0,167,800.0,Nov
Journal Square,40.733670000000000,-74.0625,129,532.0,124,487.5,Nov
Monmouth and 6th,40.72568548362900,-74.0487903356552,309,390.0,306,389.0,Nov
Glenwood Ave,40.72755146730010,-74.07106071710590,119,635.0,110,903.5,Nov
Hoboken Ave at Monmouth St,40.73520838045360,-74.04696375131610,231,963.0,199,1011.0,Nov
Oakland Ave,40.7376037,-74.05247830000000,116,547.0,84,541.0,Nov
Christ Hospital,40.734785818,-74.050443636,91,648.0,77,561.0,Nov
Harborside,40.71925170000000,-74.034234,654,447.5,646,456.0,Nov
Grove St PATH,40.71958611647170,-74.0431174635887,1582,359.0,1707,359.0,Nov
Dey St,40.737711,-74.066921,73,766.0,74,551.5,Nov
Leonard Gordon Park,40.74590996631560,-74.05727148056030,32,876.0,24,851.5,Nov
Union St,40.71821130000000,-74.08363940000000,76,1191.0,61,1244.0,Nov
Newport PATH,40.7272235,-74.03375890000000,355,481.0,373,426.0,Dec
Journal Square,40.733670000000000,-74.0625,134,514.5,110,502.5,Dec
Grove St PATH,40.71958611647170,-74.0431174635887,776,323.5,933,312.0,Dec
Christ Hospital,40.734785818,-74.050443636,64,567.0,46,630.5,Dec
McGinley Square,40.7253399253558,-74.06762212514880,222,306.0,203,334.0,Dec
Paulus Hook,40.7141454,-74.0335519,227,615.0,219,564.0,Dec
Newport Pkwy,40.728744800000000,-74.03210820000000,721,781.0,743,753.0,Dec
Fairmount Ave,40.72572613742560,-74.07195925712580,215,428.0,153,393.0,Dec
Bergen Ave,40.72210378668600,-74.07145500183100,121,534.0,115,500.0,Dec
Hilltop,40.7311689,-74.0575736,112,629.5,80,693.5,Dec
Sip Ave,40.73089709786180,-74.06391263008120,607,438.0,511,393.0,Dec
Jersey & 6th St,40.72528910781130,-74.04557168483730,235,289.0,220,340.5,Dec
Dixon Mills,40.72163014263840,-74.04996782541280,176,348.5,147,383.0,Dec
Hamilton Park,40.727595966000000,-74.044247311,445,455.0,456,480.5,Dec
Warren St,40.721123600000000,-74.03805095,385,405.0,411,405.0,Dec
Grand St,40.71517767732030,-74.03768330812450,218,458.5,223,555.0,Dec
Glenwood Ave,40.72755146730010,-74.07106071710590,96,893.0,85,1011.0,Dec
Morris Canal,40.7124188237569,-74.03852552175520,315,520.0,308,561.0,Dec
Lafayette Park,40.71346382669200,-74.06285852193830,152,561.0,162,644.5,Dec
Monmouth and 6th,40.72568548362900,-74.0487903356552,131,386.0,120,465.5,Dec
Brunswick & 6th,40.726011729646200,-74.0503889322281,239,406.0,218,383.5,Dec
Marin Light Rail,40.71458403535890,-74.04281705617910,489,457.0,475,504.0,Dec
Brunswick St,40.7241765,-74.05065640000000,284,331.0,263,367.0,Dec
Van Vorst Park,40.71848892,-74.047726625,232,421.5,247,468.0,Dec
JC Medical Center,40.71653978099190,-74.0496379137039,374,458.5,396,522.5,Dec
Essex Light Rail,40.712774200000000,-74.03648570000000,154,486.5,154,474.0,Dec
Columbus Drive,40.71835519823210,-74.03891444206240,256,412.0,274,401.5,Dec
Washington St,40.7242941,-74.0354826,350,501.0,400,543.5,Dec
Dey St,40.737711,-74.066921,39,452.0,49,268.0,Dec
Liberty Light Rail,40.711242300000000,-74.0557013,300,825.5,314,803.5,Dec
Lincoln Park,40.7246050998869,-74.07840594649320,98,753.5,94,770.5,Dec
Manila & 1st,40.72165072488000,-74.04288411140440,246,322.0,263,333.0,Dec
Astor Place,40.71928220070700,-74.07126188278200,150,562.0,147,572.0,Dec
Columbus Dr at Exchange Pl,40.71687,-74.03281,343,448.0,357,398.0,Dec
Jersey & 3rd,40.723331586464400,-74.04595255851740,254,304.5,263,350.0,Dec
Harborside,40.71925170000000,-74.034234,391,405.0,379,449.0,Dec
Newark Ave,40.72152515,-74.046304543,232,339.5,253,419.0,Dec
Pershing Field,40.742677141,-74.051788633,158,813.0,127,902.0,Dec
Baldwin at Montgomery,40.7236589,-74.0641943,232,624.0,227,497.0,Dec
Union St,40.71821130000000,-74.08363940000000,32,1149.5,37,1300.0,Dec
5 Corners Library,40.73496102000950,-74.05950307846070,52,595.0,25,801.0,Dec
City Hall,40.717732500000000,-74.04384500000000,352,440.0,394,442.5,Dec
Leonard Gordon Park,40.74590996631560,-74.05727148056030,16,587.0,17,549.0,Dec
Hoboken Ave at Monmouth St,40.73520838045360,-74.04696375131610,98,968.5,99,838.0,Dec
York St,40.71649,-74.04105,112,478.0,139,455.0,Dec
Oakland Ave,40.7376037,-74.05247830000000,83,416.0,51,486.0,Dec
Montgomery St,40.71942,-74.05099,142,615.0,152,573.5,Dec
Jackson Square,40.71113,-74.0789,46,1130.0,48,1392.5,Dec
Communipaw & Berry Lane,40.71435836870430,-74.06661093235020,78,654.0,80,786.5,Dec
Riverview Park,40.7443187,-74.04399090000000,70,1025.5,60,831.5,Dec
Heights Elevator,40.748715945380200,-74.04044330120090,85,1136.0,66,1221.0,Dec
